column_index_1based,excel_column,nutrient_key,source_header,label,unit,category,infoods_tag,origcpcd,const_nom_fr
10,J,energy_regulation_kj,"Energie, Règlement UE N° 1169 2011 (kJ 100 g)","Energie, Règlement UE N° 1169 2011",kJ,macro,ENERC,327,"Energie, Règlement UE N° 1169/2011 (kJ/100 g)"
11,K,energy_regulation_kcal,"Energie, Règlement UE N° 1169 2011 (kcal 100 g)","Energie, Règlement UE N° 1169 2011",kcal,macro,ENERC,328,"Energie, Règlement UE N° 1169/2011 (kcal/100 g)"
12,L,energy_jones_fiber_kj,"Energie, N x facteur Jones, avec fibres (kJ 100 g)","Energie, N x facteur Jones, avec fibres",kJ,macro,ENERC,332,"Energie, N x facteur Jones, avec fibres (kJ/100 g)"
13,M,energy_jones_fiber_kcal,"Energie, N x facteur Jones, avec fibres (kcal 100 g)","Energie, N x facteur Jones, avec fibres",kcal,macro,ENERC,333,"Energie, N x facteur Jones, avec fibres (kcal/100 g)"
14,N,water_g,Eau (g 100 g),Eau,g,macro,WATER,400,Eau (g/100 g)
15,O,protein_jones_g,"Protéines, N x facteur de Jones (g 100 g)","Protéines, N x facteur de Jones",g,macro,PROCNT,25000,"Protéines, N x facteur de Jones (g/100 g)"
16,P,protein_nx625_g,"Protéines, N x 6.25 (g 100 g)","Protéines, N x 6.25",g,macro,PROCNT,25003,"Protéines, N x 6.25 (g/100 g)"
17,Q,carbs_g,Glucides (g 100 g),Glucides,g,macro,CHOAVL,31000,Glucides (g/100 g)
18,R,fat_g,Lipides (g 100 g),Lipides,g,macro,FAT,40000,Lipides (g/100 g)
19,S,sugars_g,Sucres (g 100 g),Sucres,g,macro,SUGAR,32000,Sucres (g/100 g)
20,T,fructose_g,Fructose (g 100 g),Fructose,g,macro,FRUS,32210,Fructose (g/100 g)
21,U,galactose_g,Galactose (g 100 g),Galactose,g,macro,GALS,32220,Galactose (g/100 g)
22,V,glucose_g,Glucose (g 100 g),Glucose,g,macro,GLUS,32250,Glucose (g/100 g)
23,W,lactose_g,Lactose (g 100 g),Lactose,g,macro,LACS,32410,Lactose (g/100 g)
24,X,maltose_g,Maltose (g 100 g),Maltose,g,macro,MALS,32430,Maltose (g/100 g)
25,Y,sucrose_g,Saccharose (g 100 g),Saccharose,g,macro,SUCS,32480,Saccharose (g/100 g)
26,Z,starch_g,Amidon (g 100 g),Amidon,g,macro,STARCH,33110,Amidon (g/100 g)
27,AA,fiber_g,Fibres alimentaires (g 100 g),Fibres alimentaires,g,macro,FIB-,34100,Fibres alimentaires (g/100 g)
